フラグ,コード,歌手,タイトル,リンク
J,203,テレサ・テン,愛人,http://www.youtube.com/watch?v=Km0tMGHIAHU
J,204,テレサ・テン,空港,http://www.youtube.com/watch?v=Vr6AxVGpTC0
J,205,テレサ・テン,何日君再来,https://www.youtube.com/watch?v=wGtRsEgKuFU
J,206,テレサ・テン,"テレサ・テン メモリアルTV",http://www.youtube.com/watch?v=Ay2iO-rBgQQ
J,207,テレサ・テン,"1985 NHKホール コンサートメドレー",http://www.youtube.com/watch?v=opdo4Qux1tI
J,211,八代亜紀,なみだ恋,https://www.youtube.com/watch?v=8NxNJbODJW8
J,212,八代亜紀,舟唄,http://www.youtube.com/watch?v=yGI0QZ4Gk34
J,213,八代亜紀,雨の慕情,http://www.youtube.com/watch?v=FZMWYN8pzG0
J,214,八代亜紀,愛の終着駅,https://www.youtube.com/watch?v=oLUIKWm5CA0
J,215,八代亜紀,もう一度逢いたい,http://www.youtube.com/watch?v=98foGwLGN2o
J,216,八代亜紀,おんな港町,https://www.youtube.com/watch?v=U-oqRp6276M
J,217,八代亜紀,"八代亜紀 熱唱！ひとり舞台",http://www.youtube.com/watch?v=pnF1CY-ZI8U
J,218,八代亜紀,"八代亜紀メモリアル 5曲メドレー",http://www.youtube.com/watch?v=cwGDGWiQh2w
J,221,太田裕美,木綿のハンカチーフ,http://www.youtube.com/watch?v=PC_oQmjcxLo
J,222,太田裕美,さらばシベリア鉄道,http://www.youtube.com/watch?v=6zU42eKjOpo
J,223,太田裕美,九月の雨,http://www.youtube.com/watch?v=WFWuf4m_20c
J,224,太田裕美,赤いハイヒール,https://www.youtube.com/watch?v=1vdRWGeF8nA
J,225,太田裕美,ドール,https://www.youtube.com/watch?v=NH65Txsu_4w
J,226,太田裕美,"太田裕美コンサート ～25年間の軌跡～",http://www.youtube.com/watch?v=8dPfqk5Skjo
J,227,太田裕美,"ザ・ライブ／太田裕美 1981年",http://www.youtube.com/watch?v=SPk6BmJkL7w
J,231,尾崎紀世彦,また逢う日まで,https://www.youtube.com/watch?v=dXEFeL3YzUI
J,232,尾崎紀世彦,さよならをもう一度,http://www.youtube.com/watch?v=ZwRqq4CdJAo
J,233,尾崎紀世彦,五月のバラ,http://www.youtube.com/watch?v=cxwTlbjlsAI
J,234,尾崎紀世彦,愛する人はひとり,https://www.youtube.com/watch?v=85SVwDG6-Bo
J,235,尾崎紀世彦,ゴッドファーザー・愛のテーマ,https://www.youtube.com/watch?v=OPLYxE9JknY
J,236,尾崎紀世彦,尾崎紀世彦コンサート1998,http://www.youtube.com/watch?v=VM0lEF6HBDA
